CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,FullName
11000,MR.,JON,YANG,1966-04-08,M,M,jon24@adventure-works.com,90000.0,2,Bachelors,Professional,Y,JON YANG
11001,MR.,EUGENE,HUANG,1965-05-14,S,M,eugene10@adventure-works.com,60000.0,3,Bachelors,Professional,N,EUGENE HUANG
11002,MR.,RUBEN,TORRES,1965-08-12,M,M,ruben35@adventure-works.com,60000.0,3,Bachelors,Professional,Y,RUBEN TORRES
11003,MS.,CHRISTY,ZHU,1968-02-15,S,F,christy12@adventure-works.com,70000.0,0,Bachelors,Professional,N,CHRISTY ZHU
11004,MRS.,ELIZABETH,JOHNSON,1968-08-08,S,F,elizabeth5@adventure-works.com,80000.0,5,Bachelors,Professional,Y,ELIZABETH JOHNSON
11005,MR.,JULIO,RUIZ,1965-08-05,S,M,julio1@adventure-works.com,70000.0,0,Bachelors,Professional,Y,JULIO RUIZ
11007,MR.,MARCO,MEHTA,1964-05-09,M,M,marco14@adventure-works.com,60000.0,3,Bachelors,Professional,Y,MARCO MEHTA
11008,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,rob4@adventure-works.com,60000.0,4,Bachelors,Professional,Y,ROBIN VERHOFF
11009,MR.,SHANNON,CARLSON,1964-04-01,S,M,shannon38@adventure-works.com,70000.0,0,Bachelors,Professional,N,SHANNON CARLSON
11010,MS.,JACQUELYN,SUAREZ,1964-02-06,S,F,jacquelyn20@adventure-works.com,70000.0,0,Bachelors,Professional,N,JACQUELYN SUAREZ
11011,MR.,CURTIS,LU,1963-11-04,M,M,curtis9@adventure-works.com,60000.0,4,Bachelors,Professional,Y,CURTIS LU
11012,MRS.,LAUREN,WALKER,1968-01-18,M,F,lauren41@adventure-works.com,100000.0,2,Bachelors,Management,Y,LAUREN WALKER
11013,MR.,IAN,JENKINS,1968-08-06,M,M,ian47@adventure-works.com,100000.0,2,Bachelors,Management,Y,IAN JENKINS
11014,MRS.,SYDNEY,BENNETT,1968-05-09,S,F,sydney23@adventure-works.com,100000.0,3,Bachelors,Management,N,SYDNEY BENNETT
11015,MS.,CHLOE,YOUNG,1979-02-27,S,F,chloe23@adventure-works.com,30000.0,0,Partial College,Skilled Manual,N,CHLOE YOUNG
11016,MR.,WYATT,HILL,1979-04-28,M,M,wyatt32@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Y,WYATT HILL
11017,MRS.,SHANNON,WANG,1944-06-26,S,F,shannon1@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,SHANNON WANG
11018,MR.,CLARENCE,RAI,1944-10-09,S,M,clarence32@adventure-works.com,30000.0,2,Partial College,Clerical,Y,CLARENCE RAI
11019,MR.,LUKE,LAL,1978-03-07,S,M,luke18@adventure-works.com,40000.0,0,High School,Skilled Manual,N,LUKE LAL
11020,MR.,JORDAN,KING,1978-09-20,S,M,jordan73@adventure-works.com,40000.0,0,High School,Skilled Manual,N,JORDAN KING
11021,MS.,DESTINY,WILSON,1978-09-03,S,F,destiny7@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,DESTINY WILSON
11022,MR.,ETHAN,ZHANG,1978-10-12,M,M,ethan20@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,ETHAN ZHANG
11023,MR.,SETH,EDWARDS,1978-10-11,M,M,seth46@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,SETH EDWARDS
11024,MR.,RUSSELL,XIE,1978-09-17,M,M,russell7@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,RUSSELL XIE
11025,Unknown,ALEJANDRO,BECK,1945-12-23,M,Unknown,alejandro45@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,ALEJANDRO BECK
11026,MR.,HAROLD,SAI,1946-04-03,S,M,harold3@adventure-works.com,30000.0,2,Partial College,Clerical,N,HAROLD SAI
11027,MR.,JESSIE,ZHAO,1946-12-07,M,M,jessie16@adventure-works.com,30000.0,2,Partial College,Clerical,Y,JESSIE ZHAO
11028,MRS.,JILL,JIMENEZ,1946-04-11,M,F,jill13@adventure-works.com,30000.0,2,Partial College,Clerical,Y,JILL JIMENEZ
11029,MR.,JIMMY,MORENO,1946-12-21,M,M,jimmy9@adventure-works.com,30000.0,2,Partial College,Clerical,Y,JIMMY MORENO
11030,MRS.,BETHANY,YUAN,1947-02-22,M,F,bethany10@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,BETHANY YUAN
11031,MRS.,THERESA,RAMOS,1947-08-22,M,F,theresa13@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,THERESA RAMOS
11032,MRS.,DENISE,STONE,1947-06-11,M,F,denise10@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,DENISE STONE
11033,MR.,JAIME,NATH,1947-09-23,M,M,jaime41@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,JAIME NATH
11034,MRS.,EBONY,GONZALEZ,1947-06-19,M,F,ebony19@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,EBONY GONZALEZ
11035,Unknown,WENDY,DOMINGUEZ,1948-02-24,M,Unknown,wendy12@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,WENDY DOMINGUEZ
11036,MS.,JENNIFER,RUSSELL,1978-12-18,M,F,jennifer93@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,JENNIFER RUSSELL
11037,MS.,CHLOE,GARCIA,1977-11-27,S,F,chloe27@adventure-works.com,40000.0,0,Partial High School,Clerical,N,CHLOE GARCIA
11038,MRS.,DIANA,HERNANDEZ,1948-03-23,M,F,diana2@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,DIANA HERNANDEZ
11039,MR.,MARC,MARTIN,1948-12-17,M,M,marc3@adventure-works.com,30000.0,3,Partial College,Clerical,Y,MARC MARTIN
11040,MR.,JESSE,MURPHY,1977-08-01,M,M,jesse15@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Y,JESSE MURPHY
11041,MS.,AMANDA,CARTER,1977-10-16,M,F,amanda53@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,AMANDA CARTER
11042,MS.,MEGAN,SANCHEZ,1977-06-13,M,F,megan28@adventure-works.com,70000.0,0,Partial College,Skilled Manual,Y,MEGAN SANCHEZ
11043,MR.,NATHAN,SIMMONS,1976-02-24,M,M,nathan11@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,NATHAN SIMMONS
11044,MR.,ADAM,FLORES,1949-05-24,M,M,adam10@adventure-works.com,20000.0,2,Partial High School,Clerical,Y,ADAM FLORES
11045,MR.,LEONARD,NARA,1950-05-19,S,M,leonard18@adventure-works.com,30000.0,3,High School,Skilled Manual,N,LEONARD NARA
11046,MRS.,CHRISTINE,YUAN,1950-03-22,M,F,christine4@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,CHRISTINE YUAN
11047,MRS.,JACLYN,LU,1950-02-27,M,F,jaclyn12@adventure-works.com,30000.0,3,High School,Skilled Manual,N,JACLYN LU
11048,MR.,JEREMY,POWELL,1950-11-22,M,M,jeremy26@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,JEREMY POWELL
11049,MS.,CAROL,RAI,1980-07-18,S,F,carol8@adventure-works.com,40000.0,0,Partial High School,Clerical,Y,CAROL RAI
11050,MR.,ALAN,ZHENG,1951-09-07,M,M,alan23@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,ALAN ZHENG
11051,MR.,DANIEL,JOHNSON,1951-08-04,S,M,daniel18@adventure-works.com,30000.0,3,High School,Skilled Manual,N,DANIEL JOHNSON
